code;name;unit;location;reference product;database;production amount;material_group;ISIC;CPC
4f945d3136efc18b6a39594fb6df6ab9;market for electricity, medium voltage;kilowatt hour;SD;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
1bc65cd92c82c249f759c6fedc8857e6;market for electricity, medium voltage;kilowatt hour;LB;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
082667b1af603994dbfebc80b5100396;market for electricity, low voltage;kilowatt hour;TN;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
843cf854d71429d3a3058084ac5431d4;market for electricity, medium voltage;kilowatt hour;RO;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
1b84b544795aa81adac19bb37e7a28ce;market for natural gas, high pressure;cubic meter;NO;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
524dc795a66c81766cc40245255a9836;market for electricity, high voltage;kilowatt hour;UZ;electricity, high voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
f06799b7a0115b2e639ff96bee058086;market for electricity, low voltage;kilowatt hour;LT;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
bf170b9d3c6760fdc105a5bc7a3c0e58;market for electricity, high voltage;kilowatt hour;KP;electricity, high voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
05dd318aa12cc9aa21d0cb0c5b8f7337;market for tap water;kilogram;BR;tap water;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;water;3600:Water collection, treatment and supply;18000: Natural water
a133f0dc517dbc09325c8432f664f4d9;market for electricity, high voltage;kilowatt hour;DK;electricity, high voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
